...1,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
163,"Álvarez et al., 2018",10.1016/j.marpolbul.2018.10.050,MPB00470,2018,Island,Island,Spain,Birds,NA,NA,NA,NA,NA,NA,NA,April,2017,April,2017,NA,Bolus,NA,41,NA,67,2,NA,69,63.41463415,NA,NA,No,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyester,NA,Rayon,NA,Nylon,NA,Ethylene vinyl acetate,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,Yes,Visual selection,ATR-FTIR,Geographic coordinate estimated,Phalacrocorax aristotelis,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Chordata,42.37880535,-8.94462675,NA,138
353,"Avery-Gomm et al., 2018",10.1016/j.marpolbul.2017.10.001,MPB00454,2018,Offshore Seas,Offshore Waters,Canada,Birds,NA,NA,NA,NA,NA,NA,NA,July,2014,July,2015,Annually,Necropsy,Stomach,70,70,NA,NA,10,921,79,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,5.98,0.4,42.4,3.92,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,Yes,Visual selection,NA,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,-50,-55,Northern fulmar,931
354,"Avery-Gomm et al., 2018",10.1016/j.marpolbul.2017.10.001,MPB00454,2018,Offshore Seas,Offshore Waters,Canada,Birds,NA,NA,NA,NA,NA,NA,NA,July,2014,July,2015,Annually,Necropsy,Stomach,70,70,NA,NA,10,921,79,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,5.98,0.4,42.4,3.92,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,Yes,Visual selection,NA,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,-60,-60,Northern fulmar,931
449,"Baak et al., 2020",10.1016/j.marpolbul.2020.111386,MPB00684,2020,Island,Island,Canada,Birds,NA,cm,Total length,NA,NA,NA,NA,July,2018,July,2018,NA,Necropsy,GIT,20,20,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,NA,Cepphus grylle,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Alcidae,Cepphus,Chordata,67.559936,-63.725832,NA,0
450,"Baak et al., 2020",10.1016/j.marpolbul.2020.111386,MPB00684,2020,Island,Island,Canada,Birds,NA,cm,Total length,NA,NA,NA,NA,July,2018,July,2018,NA,Necropsy,GIT,29,29,NA,NA,NA,50,72,NA,NA,Yes,44,1,0,0,0,4,0,1,Number,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,67.559936,-63.725832,Northern fulmar,50
451,"Baak et al., 2020",10.1016/j.marpolbul.2020.111386,MPB00684,2020,Island,Island,Canada,Birds,NA,cm,Total length,NA,NA,NA,NA,July,2018,July,2018,NA,Necropsy,GIT,20,20,NA,NA,NA,4,15,NA,NA,Yes,4,0,0,0,0,0,0,0,Number,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,NA,Rissa tridactyla,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Rissa,Chordata,67.559936,-63.725832,black-legged kittiwake,4
452,"Baak et al., 2020",10.1016/j.marpolbul.2020.111386,MPB00684,2020,Island,Island,Canada,Birds,NA,cm,Total length,NA,NA,NA,NA,July,2018,July,2018,NA,Necropsy,GIT,30,30,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,NA,Uria lomvia,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Alcidae,Uria,Chordata,67.559936,-63.725832,thick-billed guillemot,0
581,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,4,4,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,100,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Chroicocephalus ridibundus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Chroicocephalus,Chordata,45,-10,black-headed gull,0
582,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,4,4,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,100,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Chroicocephalus ridibundus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Chroicocephalus,Chordata,35,-5,black-headed gull,0
585,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,45,-10,red-throated loon,0
