Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Steller's Eider,Polysticta stelleri,Polysticta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spectacled Eider,Somateria fischeri,Somateria
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",King Eider,Somateria spectabilis,Somateria
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Eider,Somateria mollissima,Somateria
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Harlequin Duck,Histrionicus histrionicus,Histrionicus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Surf Scoter,Melanitta perspicillata,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Velvet Scoter,Melanitta fusca,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",White-winged Scoter,Melanitta deglandi,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Stejneger's Scoter,Melanitta stejnegeri,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Scoter,Melanitta nigra,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Black Scoter,Melanitta americana,Melanitta
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Long-tailed Duck,Clangula hyemalis,Clangula
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bufflehead,Bucephala albeola,Bucephala
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Goldeneye,Bucephala clangula,Bucephala
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Barrow's Goldeneye,Bucephala islandica,Bucephala
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Smew,Mergellus albellus,Mergellus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Hooded Merganser,Lophodytes cucullatus,Lophodytes
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Merganser,Mergus merganser,Mergus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Brazilian Merganser,Mergus octosetaceus,Mergus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Red-breasted Merganser,Mergus serrator,Mergus
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Scaly-sided Merganser,Mergus squamatus,Mergus
Charadriiformes,Scolopacidae (Sandpipers and Allies),Wilson's Phalarope,Phalaropus tricolor,Phalaropus
Charadriiformes,Scolopacidae (Sandpipers and Allies),Red Phalarope,Phalaropus fulicarius,Phalaropus
Charadriiformes,Scolopacidae (Sandpipers and Allies),Red-necked Phalarope,Phalaropus lobatus,Phalaropus
Charadriiformes,Stercorariidae (Skuas and Jaegers),Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),Parasitic Jaeger,Stercorarius parasiticus,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),Pomarine Jaeger,Stercorarius pomarinus,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),Great Skua,Stercorarius skua,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),Chilean Skua,Stercorarius chilensis,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),Brown Skua,Stercorarius antarcticus,Stercorarius
Charadriiformes,Stercorariidae (Skuas and Jaegers),South Polar Skua,Stercorarius maccormicki,Stercorarius
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Tufted Puffin,Fratercula cirrhata,Fratercula
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Atlantic Puffin,Fratercula arctica,Fratercula
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Horned Puffin,Fratercula corniculata,Fratercula
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Least Auklet,Aethia pusilla,Aethia
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Whiskered Auklet,Aethia pygmaea,Aethia
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Crested Auklet,Aethia cristatella,Aethia
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Parakeet Auklet,Aethia psittacula,Aethia
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Long-billed Murrelet,Brachyramphus perdix,Brachyramphus
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Kittlitz's Murrelet,Brachyramphus brevirostris,Brachyramphus
