Species,Tree,Tip,Justification,Source
Ardenna_carneipes          ,NA,Ardenna_creatopus,Sometimes considered conspecific with creatopus,HBW
Bulweria_fallax            ,NA,Bulweria_bulwerii,Has been considered conspecific with bulwerii,HBW
Diomedea_epomophora        ,NA,NA,"Closely related to sandfordi, outside rest of genus",HBW
Diomedea_sanfordi          ,NA,NA,"Closely related to epomophora, outside rest of genus",HBW
Eudyptes_chrysocome        ,NA,Eudyptes_moseleyi,Until recently considered conspecific with moseleyi,HBW
Fregetta_lineata           ,NA,NA,"New species, uncertain relationship to rest of genus",HBW
Gelochelidon_macrotarsa    ,NA,Gelochelidon_nilotica,Lumped with nilotica til recently,HBW
Larus_mongolicus           ,NA,Larus_argentatus,Until recently considered conspecific with argentatus,HBW
Larus_vegae                ,NA,Larus_argentatus,Until recently considered conspecific with argentatus,HBW
Leucocarbo_bougainvilliorum,Leucocarbo_bougainvillii,NA,Misspelling,HBW
Megadyptes_antipodes       ,NA,NA,Uncertain phylogenetic placement,HBW
Melanitta_deglandi         ,NA,Melanitta_fusca,"Consepcific with fusca, or subspecies of stejnegeri",HBW
Melanitta_stejnegeri       ,NA,Melanitta_deglandi         ,Consepcific with fusca,HBW
Mergus_octosetaceus        ,NA,NA,Not seabird,HBW
Microcarbo_africanus       ,NA,NA,"Close relatives with coronatus, uncertain placement in genus",HBW
Microcarbo_coronatus       ,NA,NA,"Close relatives with africanus, uncertain placement in genus",HBW
Oceanites_pincoyae         ,NA,NA,"New species, uncertain relationship to rest of genus",HBW
Phaethon_aethereus         ,NA,NA,Uncertain phylogenetic placement,HBW
Phaethon_rubricauda        ,NA,Phaethon_lepturus,Sister species to lepturus,HBW
Pterodroma_atrata          ,NA,Pterodroma_arminjoniana,Conspecific til recently,HBW
Pterodroma_caribbaea       ,NA,NA,Missing from tree possibly extinct      ,HBW
Pterodroma_defilippiana    ,NA,Pterodroma_cookii,Previously grouped within cookii,HBW
Pterodroma_gouldi          ,NA,Pterodroma_lessonii,Previously grouped with macroptera and lessonii,HBW
Pterodroma_macroptera      ,NA,Pterodroma_gouldi          ,Previously grouped with lessonii,HBW
Pterodroma_mollis          ,NA,NA,Uncertain phylogenetic placement,HBW
Pterodroma_occulta         ,NA,Pterodroma_cervicalis,Previously within cervicalis,HBW
Puffinus_assimilis         ,Puffinus_assimilis_tunneyi,NA,Subpecies,HBW
Puffinus_auricularis       ,NA,NA,Uncertain phylogenetic placement,HBW
Puffinus_bailloni          ,Puffinus_bailloni_bailloni,NA,Subspecies,HBW
Puffinus_heinrothi         ,NA,Puffinus_assimilis         ,Previously within assimilis,HBW
Puffinus_lherminieri       ,NA,Puffinus_heinrothi         ,Uncertain phylogenetic placement,HBW
Puffinus_puffinus          ,NA,NA,Uncertain phylogenetic placement,HBW
Rynchops_albicollis        ,NA,Rynchops_niger,Closely related to niger,HBW
Rynchops_flavirostris      ,NA,Rynchops_niger,Closely related to niger,HBW
Sterna_acuticauda          ,NA,NA,Uncertain phylogenetic placement,HBW
Sterna_aurantia            ,NA,NA,Uncertain phylogenetic placement,HBW
Sterna_repressa            ,NA,NA,Uncertain phylogenetic placement,HBW
Sterna_virgata             ,NA,NA,Uncertain phylogenetic placement,HBW
Sternula_balaenarum        ,NA,NA,Uncertain phylogenetic placement,HBW
Sternula_lorata            ,NA,NA,Uncertain phylogenetic placement,HBW
Sula_brewsteri             ,NA,Sula_leucogaster,Sister to Sula_leucogaster,HBW
Synthliboramphus_hypoleucus,NA,Synthliboramphus_scrippsi,Conspecific til recently,HBW
