Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Aethia cristatella,Charadriiformes,Alcidae,Aethia,Crested Auklet,Diving,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,259.5,No,No,No
Aethia psittacula,Charadriiformes,Alcidae,Aethia,Parakeet Auklet,Diving,Crustaceans,Yes,No,Yes,Yes,No,No,Yes,270,No,No,No
Aethia pusilla,Charadriiformes,Alcidae,Aethia,Least Auklet,Diving,Crustaceans,No,No,Yes,Yes,No,No,Yes,84,No,No,No
Aethia pygmaea,Charadriiformes,Alcidae,Aethia,Whiskered Auklet,Diving,Crustaceans,No,No,Yes,Yes,No,No,Yes,112,No,No,No
Alca torda,Charadriiformes,Alcidae,Alca,Razorbill,Diving,Fish,Yes,No,Yes,Yes,No,No,Yes,726,No,No,No
Alle alle,Charadriiformes,Alcidae,Alle,Dovekie,Diving,Crustaceans,Yes,No,Yes,Yes,No,No,Yes,181.3,No,No,No
Anous albivitta,Charadriiformes,Laridae,Anous,Gray Noddy,Surface.Seizing,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,72.2,No,No,No
Anous ceruleus,Charadriiformes,Laridae,Anous,Blue-gray Noddy,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,53,No,No,No
Anous minutus,Charadriiformes,Laridae,Anous,Black Noddy,Surface.Seizing,Fish,Yes,Yes,No,No,No,No,Yes,116,No,No,No
Anous stolidus,Charadriiformes,Laridae,Anous,Brown Noddy,Surface.Seizing,Fish,Yes,Yes,No,No,No,No,Yes,189,No,No,No
Anous tenuirostris,Charadriiformes,Laridae,Anous,Lesser Noddy,Surface.Seizing,Fish,Yes,No,Yes,No,No,No,Yes,112,No,No,No
Aphrodroma brevirostris,Procellariiformes,Procellariidae,Aphrodroma,Kerguelen Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,No,Yes,357,No,No,No
Aptenodytes forsteri,Sphenisciformes,Spheniscidae,Aptenodytes,Emperor Penguin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,33850,No,No,No
Aptenodytes patagonicus,Sphenisciformes,Spheniscidae,Aptenodytes,King Penguin,Diving,Fish,Yes,Yes,No,No,No,No,Yes,11751,No,No,No
Ardenna bulleri,Procellariiformes,Procellariidae,Ardenna,Buller's Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,407,Yes,No,No
Ardenna carneipes,Procellariiformes,Procellariidae,Ardenna,Flesh-footed Shearwater,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,609,No,No,No
Ardenna creatopus,Procellariiformes,Procellariidae,Ardenna,Pink-footed Shearwater,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,No,Yes,744,No,No,No
Ardenna gravis,Procellariiformes,Procellariidae,Ardenna,Great Shearwater,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,Yes,Yes,849,Yes,No,No
Ardenna grisea,Procellariiformes,Procellariidae,Ardenna,Sooty Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,787,Yes,No,No
Ardenna pacifica,Procellariiformes,Procellariidae,Ardenna,Wedge-tailed Shearwater,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,Yes,Yes,388,Yes,No,No
Ardenna tenuirostris,Procellariiformes,Procellariidae,Ardenna,Short-tailed Shearwater,Plunging,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,559,No,No,No
Brachyramphus brevirostris,Charadriiformes,Alcidae,Brachyramphus,Kittlitz's Murrelet,Diving,Fish,Yes,No,Yes,No,No,No,Yes,234,No,No,No
Brachyramphus marmoratus,Charadriiformes,Alcidae,Brachyramphus,Marbled Murrelet,Diving,Fish,Yes,No,Yes,No,No,No,Yes,220,No,No,No
Brachyramphus perdix,Charadriiformes,Alcidae,Brachyramphus,Long-billed Murrelet,Diving,Fish,Yes,No,Yes,No,No,No,Yes,296,No,No,No
Bucephala albeola,Anseriformes,Anatidae,Bucephala,Bufflehead,Diving,Crustaceans,Yes,No,Yes,Yes,No,No,No,807,No,No,No
Bucephala clangula,Anseriformes,Anatidae,Bucephala,Common Goldeneye,Diving,Crustaceans,No,No,Yes,Yes,No,No,No,939.1666667,No,No,No
Bucephala islandica,Anseriformes,Anatidae,Bucephala,Barrow's Goldeneye,Bottom.Feeding,Crustaceans,No,No,Yes,Yes,No,No,No,1020.25,No,No,No
Bulweria bulwerii,Procellariiformes,Procellariidae,Bulweria,Bulwer's Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,99,No,No,No
Bulweria fallax,Procellariiformes,Procellariidae,Bulweria,Jouanin's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,173,No,No,No
Calonectris borealis,Procellariiformes,Procellariidae,Calonectris,Cory's Shearwater,Plunging,Fish,Yes,Yes,Yes,Yes,No,Yes,Yes,535,Yes,No,No
Calonectris diomedea,Procellariiformes,Procellariidae,Calonectris,Scopoli's Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,535,No,No,No
Calonectris edwardsii,Procellariiformes,Procellariidae,Calonectris,Cape Verde Shearwater,Skimming,Fish,Yes,Yes,Yes,No,No,Yes,Yes,480,Yes,No,No
Calonectris leucomelas,Procellariiformes,Procellariidae,Calonectris,Streaked Shearwater,Surface.Seizing,Fish,Yes,Yes,No,No,No,No,Yes,580,No,No,No
Stercorarius antarcticus,Charadriiformes,Stercorariidae,Stercorarius,Brown Skua,Aerial.Pursuit,Carrion.NonFishVertebrates,Yes,Yes,Yes,No,Yes,Yes,Yes,1650,Yes,No,No
Stercorarius chilensis,Charadriiformes,Stercorariidae,Stercorarius,Chilean Skua,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1368.5,Yes,Yes,No
Stercorarius maccormicki,Charadriiformes,Stercorariidae,Stercorarius,South Polar Skua,Surface.Seizing,Fish,Yes,No,Yes,No,Yes,Yes,Yes,1349,No,Yes,No
Stercorarius skua,Charadriiformes,Stercorariidae,Stercorarius,Great Skua,Surface.Seizing,Carrion.NonFishVertebrates,Yes,No,No,No,Yes,Yes,Yes,1340,Yes,Yes,No
Cepphus carbo,Charadriiformes,Alcidae,Cepphus,Spectacled Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,490,No,No,No
Cepphus columba,Charadriiformes,Alcidae,Cepphus,Pigeon Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,530,No,No,No
Cepphus grylle,Charadriiformes,Alcidae,Cepphus,Black Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,452.5,No,No,No
Cerorhinca monocerata,Charadriiformes,Alcidae,Cerorhinca,Rhinoceros Auklet,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,483,No,No,No
Chlidonias albostriatus,Charadriiformes,Laridae,Chlidonias,Black-fronted Tern,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,No,No,92,No,No,No
Chlidonias hybrida,Charadriiformes,Laridae,Chlidonias,Whiskered Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,Yes,No,83.9,No,No,Yes
Chlidonias leucopterus,Charadriiformes,Laridae,Chlidonias,White-winged Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,No,No,No,54.2,No,No,No
Chlidonias niger,Charadriiformes,Laridae,Chlidonias,Black Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,No,No,65.3,No,No,No
Clangula hyemalis,Anseriformes,Anatidae,Clangula,Long-tailed Duck,Bottom.Feeding,Crustaceans,Yes,No,Yes,Yes,No,No,No,873,No,No,No
Creagrus furcatus,Charadriiformes,Laridae,Creagrus,Swallow-tailed Gull,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,No,Yes,687,No,No,No
Daption capense,Procellariiformes,Procellariidae,Daption,Pintado Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,424.5,Yes,No,No
Diomedea amsterdamensis,Procellariiformes,Diomedeidae,Diomedea,Amsterdam Albatross,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,No,Yes,6270,No,No,No
Diomedea antipodensis,Procellariiformes,Diomedeidae,Diomedea,Antipodean Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,6650,No,No,No
