tips,total_plastic,total_n,species_FO,n_studies,plastic
Aethia_cristatella,7,1243,0.0056315366049879325,17,yes
Aethia_psittacula,284,468,0.6068376068376068,16,yes
Aethia_pygmaea,1,516,0.001937984496124031,16,yes
Alca_torda,4,78,0.05128205128205128,13,yes
Alle_alle,117,433,0.2702078521939954,10,yes
Anous_ceruleus,0,114,0,2,no
Anous_minutus,1,560,0.0017857142857142857,7,yes
Anous_stolidus,90,571,0.15761821366024517,15,yes
Anous_tenuirostris,9,24,0.375,2,yes
Aphrodroma_brevirostris,21,122,0.1721311475409836,10,yes
Aptenodytes_forsteri,1,67,0.014925373134328358,5,yes
Aptenodytes_patagonicus,15,201,0.07462686567164178,3,yes
Ardenna_bulleri,117,122,0.9590163934426229,3,yes
Ardenna_carneipes,1781,2734,0.6514264813460132,59,yes
Ardenna_creatopus,3,6,0.5,2,yes
Ardenna_gravis,959,1300,0.7376923076923076,36,yes
Ardenna_grisea,1108,1887,0.5871754107048225,40,yes
Ardenna_pacifica,263,1699,0.1547969393761036,33,yes
Ardenna_tenuirostris,2737,3323,0.8236533253084563,54,yes
Brachyramphus_brevirostris,0,22,0,2,no
Brachyramphus_marmoratus,0,157,0,2,no
Bucephala_albeola,0,1,0,1,no
Bucephala_clangula,0,2,0,1,no
Bucephala_islandica,0,19,0,2,no
Bulweria_bulwerii,101,385,0.2623376623376623,8,yes
Calonectris_borealis,1692,2135,0.7925058548009367,22,yes
Calonectris_edwardsii,197,411,0.4793187347931874,5,yes
Calonectris_leucomelas,0,24,0,3,no
Cepphus_columba,1,70,0.014285714285714285,4,yes
Cepphus_grylle,0,95,0,6,no
Cerorhinca_monocerata,5,93,0.053763440860215055,7,yes
Chlidonias_niger,0,2,0,1,no
Chroicocephalus_cirrocephalus,0,3,0,1,no
Chroicocephalus_hartlaubii,0,13,0,1,no
Chroicocephalus_novaehollandiae,1,15,0.06666666666666667,3,yes
Chroicocephalus_philadelphia,0,4,0,1,no
Chroicocephalus_ridibundus,6,25,0.24,6,yes
Clangula_hyemalis,9,230,0.0391304347826087,5,yes
Daption_capense,88,450,0.19555555555555557,25,yes
Diomedea_antipodensis,1,9,0.1111111111111111,5,yes
Diomedea_dabbenena,2,16,0.125,6,yes
Diomedea_epomophora,6,36,0.16666666666666666,9,yes
Diomedea_exulans,513,1144,0.44842657342657344,20,yes
Diomedea_sanfordi,14,63,0.2222222222222222,2,yes
Eudyptes_chrysocome,2,177,0.011299435028248588,1,yes
Eudyptes_chrysolophus,0,46,0,1,no
Eudyptes_moseleyi,0,12,0,1,no
Eudyptula_minor,0,124,0,2,no
Fratercula_arctica,72,438,0.1643835616438356,12,yes
Fratercula_cirrhata,210,1000,0.21,9,yes
Fratercula_corniculata,152,392,0.3877551020408163,8,yes
Fregata_ariel,0,1,0,1,no
Fregata_magnificens,2,113,0.017699115044247787,5,yes
Fregata_minor,23,371,0.06199460916442048,4,yes
Fregetta_grallaria,11,147,0.07482993197278912,5,yes
Fregetta_tropica,0,8,0,3,no
Fulmarus_glacialis,4657,5556,0.8381929445644348,62,yes
Fulmarus_glacialoides,47,253,0.1857707509881423,17,yes
Garrodia_nereis,7,23,0.30434782608695654,3,yes
Gavia_adamsii,1,3,0.3333333333333333,1,yes
Gavia_arctica,0,6,0,1,no
Gavia_immer,1,13,0.07692307692307693,3,yes
Gavia_pacifica,2,22,0.09090909090909091,2,yes
Gavia_stellata,1,38,0.02631578947368421,6,yes
Gulosus_aristotelis,56,115,0.48695652173913045,9,yes
Gygis_alba,1,298,0.003355704697986577,8,yes
Halobaena_caerulea,132,166,0.7951807228915663,8,yes
Histrionicus_histrionicus,0,7,0,2,no
Hydrobates_castro,5,19,0.2631578947368421,3,yes
Hydrobates_furcatus,38,41,0.926829268292683,4,yes
Hydrobates_hornbyi,0,1,0,1,no
Hydrobates_leucorhous,1068,2961,0.3606889564336373,25,yes
Hydrobates_markhami,24,136,0.17647058823529413,3,yes
Hydrobates_melania,0,2,0,1,no
Hydrobates_monorhis,294,305,0.9639344262295082,3,yes
Hydrobates_pelagicus,14,52,0.2692307692307692,4,yes
Hydrobates_tethys,3,472,0.006355932203389831,2,yes
Hydrobates_tristrami,189,221,0.8552036199095022,11,yes
Ichthyaetus_audouinii,44,139,0.31654676258992803,4,yes
Ichthyaetus_melanocephalus,1,7,0.14285714285714285,4,yes
Larus_argentatus,110,264,0.4166666666666667,14,yes
Larus_canus,2,21,0.09523809523809523,4,yes
Larus_crassirostris,39,128,0.3046875,4,yes
Larus_delawarensis,30,71,0.4225352112676056,2,yes
Larus_dominicanus,189,3506,0.05390758699372504,18,yes
Larus_fuscus,92,368,0.25,10,yes
Larus_glaucescens,74,683,0.10834553440702782,5,yes
Larus_glaucoides,16,21,0.7619047619047619,4,yes
Larus_heermanni,2,20,0.1,2,yes
Larus_hyperboreus,8,76,0.10526315789473684,4,yes
Larus_marinus,80,160,0.5,8,yes
Larus_michahellis,1072,2507,0.42760271240526526,17,yes
Larus_pacificus,417,481,0.8669438669438669,2,yes
Larus_schistisagus,0,1,0,1,no
Larus_smithsonianus,54,90,0.6,2,yes
Leucocarbo_atriceps,5,151,0.033112582781456956,3,yes
Leucocarbo_bougainvilliorum,162,2286,0.07086614173228346,3,yes
Leucophaeus_atricilla,13,13,1,1,yes
Macronectes_giganteus,110,305,0.36065573770491804,22,yes
Macronectes_halli,14,60,0.23333333333333334,9,yes
Megadyptes_antipodes,0,124,0,1,no
Melanitta_deglandi,1,22,0.045454545454545456,3,yes
Melanitta_fusca,0,247,0,2,no
Melanitta_nigra,0,43,0,3,no
Melanitta_perspicillata,0,52,0,4,no
Mergus_merganser,0,2,0,1,no
Mergus_serrator,4,10,0.4,3,yes
Microcarbo_coronatus,0,24,0,1,no
Morus_bassanus,12,91,0.13186813186813187,9,yes
Morus_capensis,1,7,0.14285714285714285,2,yes
Morus_serrator,0,20,0,2,no
Nannopterum_auritum,45,74,0.6081081081081081,7,yes
Nannopterum_brasilianum,73,1450,0.0503448275862069,4,yes
Nesofregetta_fuliginosa,0,22,0,2,no
Oceanites_gracilis,0,2,0,1,no
Oceanites_oceanicus,57,276,0.20652173913043478,12,yes
Onychoprion_aleuticus,0,8,0,1,no
Onychoprion_anaethetus,0,1,0,1,no
Onychoprion_fuscatus,8,684,0.011695906432748537,14,yes
Onychoprion_lunatus,0,354,0,8,no
Pachyptila_belcheri,153,395,0.38734177215189874,16,yes
Pachyptila_desolata,87,164,0.5304878048780488,16,yes
Pachyptila_salvini,185,745,0.24832214765100671,11,yes
Pachyptila_turtur,449,1403,0.32002851033499646,21,yes
Pachyptila_vittata,757,1691,0.4476641040804258,21,yes
Pagodroma_nivea,10,551,0.018148820326678767,7,yes
Pagophila_eburnea,0,1,0,1,no
Pelagodroma_marina,954,1383,0.6898047722342733,15,yes
Pelecanoides_georgicus,0,14,0,3,no
Pelecanoides_magellani,0,1,0,1,no
Pelecanoides_urinatrix,7,165,0.04242424242424243,11,yes
Pelecanus_conspicillatus,4,17,0.23529411764705882,1,yes
Pelecanus_erythrorhynchos,0,2,0,1,no
Pelecanus_occidentalis,26,26,1,2,yes
Phaethon_aethereus,54,97,0.5567010309278351,4,yes
Phaethon_lepturus,11,41,0.2682926829268293,4,yes
Phaethon_rubricauda,20,498,0.040160642570281124,11,yes
Phalacrocorax_capensis,0,239,0,1,no
Phalacrocorax_carbo,4,121,0.03305785123966942,9,yes
Phalacrocorax_neglectus,1,167,0.005988023952095809,1,yes
Phalacrocorax_sulcirostris,1,1,1,1,yes
Phalacrocorax_varius,1,7,0.14285714285714285,1,yes
Phalaropus_fulicarius,17,43,0.3953488372093023,7,yes
Phalaropus_lobatus,2,5,0.4,2,yes
Phoebastria_albatrus,11,17,0.6470588235294118,3,yes
