clements2025_binomial,tips,order,family,freeflying,source,date_median,marine_region,sampling_method,body_mass_g,body_mass_2sd,main_diet,carrion,fish,cephalopods,crustaceans,other_inverts,as_fishery,as_agriculture,as_refuse,anthropogenic_subsidy,pelagic_specialist,feeding_method,aerial_pursuit,bottom_feeding,diving,plunging,scavenging,skimming,surface_seizing,terrestrial_feeding,n_plastic,n_total,FO
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,37,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,46,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,114,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,121,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,138,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,124,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,63,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2001,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,83,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2002,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,93,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,56,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,67,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,74,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,94,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,1,40,0.025
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,85,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,Alcidae,NA,"Padula et al., 2020",2012,North Pacific Ocean,Necropsy,259.5,-0.23634590141075937,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,6,7,0.8571428571428571
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,6,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,3,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,16,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,5,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,3,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,12,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,8,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,2,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,27,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,29,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,28,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Robards 1993,1990.5,North Pacific Ocean,Necropsy,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,1,3,0.3333333333333333
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,195,208,0.9375
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,87,116,0.75
Aethia psittacula,Aethia_psittacula,Charadriiformes,Alcidae,NA,Pettit et al. 1981,1980,North Pacific Ocean,Necropsy,270,-0.2339052103231183,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,1,1,1
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,1,26,0.038461538461538464
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,16,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,48,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,71,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,26,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,38,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,33,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2001,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,28,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2002,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,32,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,37,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,22,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,Alcidae,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,112,-0.27063180002285986,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,5,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,1,Acampora et al. 2016,2015,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,15,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,1,"Benjaminsen et al., 2024",2012,Arctic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,9,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,1,"Benjaminsen, 2021",2012,Arctic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,9,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,1,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,1,Provencher et al. 2014,2004,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,2,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,"Benjaminsen et al., 2024",2012,Arctic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,"Franco et al., 2019",2016,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,12,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,"Murano et al., 2024",2022.5,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,4,5,0.8
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,2,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,Provencher et al. 2014,2004,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,8,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,"Schutten et al., 2024",2021,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,1,0
Alca torda,Alca_torda,Charadriiformes,Alcidae,NA,"van Franeker et al., 2024",2019,North Atlantic Ocean,Necropsy,726,-0.1279094830884212,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,0,12,0
Alle alle,Alle_alle,Charadriiformes,Alcidae,1,Amelineau et al. 2016,2005,North Atlantic Ocean,Brushing,181.3,-0.2545232388444289,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,26,26,1
Alle alle,Alle_alle,Charadriiformes,Alcidae,1,Amelineau et al. 2016,2015,North Atlantic Ocean,Brushing,181.3,-0.2545232388444289,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,1,0,0,0,0,0,18,18,1
