term,freeflying,body_mass_2sd,carrion,fish,cephalopods,crustaceans,other_inverts,as_fishery,as_agriculture,as_refuse,pelagic_specialist,aerial_pursuit,bottom_feeding,diving,plunging,scavenging,skimming,surface_seizing,terrestrial_feeding,n_plastic,n_total,year_centered
freeflying,NA,-0.04658170066334243,-0.083592430074885593,0.005577081304383315,0.12822054356365709,0.057591698972546,-0.031228321154005995,-0.031205698631727414,-0.035531362048682014,-0.11395726394857589,0.17086315378270286,-0.04104828180631338,-0.08391366929368194,-0.002313367694947616,0.05751249472124913,-0.04655697429167468,0.13814525712332038,0.052502773614942,-0.14820934437167146,-0.02215729429719732,-0.05202831336912327,-0.12879504074282594
body_mass_2sd,-0.04658170066334243,NA,0.01739059449922191,0.038633009007192846,0.08491119015901662,-0.0021417541913878175,-0.15228860853498327,0.09324380143333402,-0.027249097193465237,-0.0430239493480853,0.01831194787319737,-0.04919721071653151,0.032300938909358506,0.05771385399722402,-0.03532110472201602,0.1522297903343452,-0.1347065264644045,-0.12587379130315485,0.0293547693338055,-0.026013678533115897,0.008357825297496424,0.06548993127139557
carrion,-0.083592430074885593,0.01739059449922191,NA,0.00832636532868862,-0.1349805503514869,0.018300191510802824,0.2755274207223271,0.3619705124626253,0.0993076683192844,0.37752177113226065,-0.2591603816337767,0.20192729201933074,-0.006567733639567363,-0.1086249163484149,0.10834042046858856,0.47306698987094703,-0.07669314931624284,0.15540167084882478,0.561919089251821,0.05580578968387158,0.03145318972053684,0.0455521779370998
fish,0.005577081304383315,0.038633009007192846,0.00832636532868862,NA,0.1298121706545235,-0.06802924449267955,-0.09623408334557479,0.17555092570625824,0.012838510908842573,0.054058416082345864,0.039683446883969437,0.049587723670314644,-0.0663132607116941,-0.08605094868203131,0.17775303972513093,0.12250650050062051,0.07150283234965073,0.12937288267437053,-0.010878200875870879,0.03683933905527556,0.0329346821717533,0.03998828938801599
cephalopods,0.12822054356365709,0.08491119015901662,-0.1349805503514869,0.1298121706545235,NA,0.13673947928526584,-0.19505254807205805,0.09130680134808995,-0.11339121151770147,-0.3597368621629803,0.4943593478262584,-0.05686466045475331,-0.20582296343754186,-0.14212441758888292,0.18500357536824347,0.050356152609646355,0.1388766322328089,0.3051435497720472,-0.3526244626561718,0.05451187644944331,0.036265623668583755,-0.09095967838344542
crustaceans,0.057591698972546,-0.0021417541913878175,0.018300191510802824,-0.06802924449267955,0.13673947928526584,NA,0.19997533962762193,0.13473100585577,0.025654914972962815,-0.01710609828935989,0.06997451160381771,-0.1709839761080586,0.10628295070065712,0.03768854844714161,-0.06818816117386914,-0.12144943627730614,0.1428825427871858,-5.421012443904686e-4,-0.09330090538688514,0.007727264318329081,-0.038400610129540165,-0.09850555477940641
other_inverts,-0.031228321154005995,-0.15228860853498327,0.2755274207223271,-0.09623408334557479,-0.19505254807205805,0.19997533962762193,NA,0.19088945521989023,0.05916646297632264,0.18655520961790292,-0.26232700487224186,-0.02470451922946737,0.14991005022764578,0.013506654690121505,-0.05492786555651438,-0.0515671823196978,-0.1949936751622762,-0.03914163712953609,0.14900334719392883,0.004492543197419771,-0.004603923233786407,0.028730267439568975
as_fishery,-0.031205698631727414,0.09324380143333402,0.3619705124626253,0.17555092570625824,0.09130680134808995,0.13473100585577,0.19088945521989023,NA,-0.014714752135258247,0.20845356642477048,4.846077037321008e-4,0.0711906187276966,-0.21137338943266576,-0.28535998751041014,0.3650364483222926,0.460797467570752,-0.018390627992497532,0.3959489658348371,0.22958329386481033,0.08571677170758801,0.02765098318985065,0.05082477523521236
as_agriculture,-0.035531362048682014,-0.027249097193465237,0.0993076683192844,0.012838510908842573,-0.11339121151770147,0.025654914972962815,0.05916646297632264,-0.014714752135258247,NA,0.06842298671359967,-0.1885184757159644,-0.0147796690724704,-0.015852516558498106,-0.04457730985000229,0.007980746348715562,0.07111181345347509,-0.021311488442145882,0.03380691731159037,0.16645506031154766,-0.007893323179525258,-0.011408362758349257,0.05125105962073812
as_refuse,-0.11395726394857589,-0.0430239493480853,0.37752177113226065,0.054058416082345864,-0.3597368621629803,-0.01710609828935989,0.18655520961790292,0.20845356642477048,0.06842298671359967,NA,-0.2574408847845334,0.09910254150523572,-0.05591804270665476,-0.1876992418212145,-0.03916793775741832,0.2836465751502261,-0.08127745007781188,0.08664410263916583,0.6769528504278441,-0.022300900926095008,0.008062736244916019,0.09897994734594392
pelagic_specialist,0.17086315378270286,0.01831194787319737,-0.2591603816337767,0.039683446883969437,0.4943593478262584,0.06997451160381771,-0.26232700487224186,4.846077037321008e-4,-0.1885184757159644,-0.2574408847845334,NA,-0.01648761222193808,-0.42425753722966025,-0.025790860425372677,0.11550353910276513,-0.009074841431626955,0.07822738007837364,0.05510108742358116,-0.3443868652296461,0.02090179644818619,0.007640719508389991,-0.17048631784839574
aerial_pursuit,-0.04104828180631338,-0.04919721071653151,0.20192729201933074,0.049587723670314644,-0.05686466045475331,-0.1709839761080586,-0.02470451922946737,0.0711906187276966,-0.0147796690724704,0.09910254150523572,-0.01648761222193808,NA,-0.061229079927057714,-0.1721763013252115,-0.018976904233618898,0.1497811572855467,-0.08231392311582975,-0.09652562623321362,0.22971836941399576,0.05104844923219306,0.06582140525675419,-0.035537380445018425
bottom_feeding,-0.08391366929368194,0.032300938909358506,-0.006567733639567363,-0.0663132607116941,-0.20582296343754186,0.10628295070065712,0.14991005022764578,-0.21137338943266576,-0.015852516558498106,-0.05591804270665476,-0.42425753722966025,-0.061229079927057714,NA,0.33333838786432524,-0.2891973537211372,-0.20158256729508153,-0.07971030587650613,-0.3496309317896074,-0.087145039993758,-0.03416035406133433,0.018764554498615294,0.05704090717305006
diving,-0.002313367694947616,0.05771385399722402,-0.1086249163484149,-0.08605094868203131,-0.14212441758888292,0.03768854844714161,0.013506654690121505,-0.28535998751041014,-0.04457730985000229,-0.1876992418212145,-0.025790860425372677,-0.1721763013252115,0.33333838786432524,NA,-0.23197187762413551,-0.23734438882585157,-0.24826897258060582,-0.5323998929110443,-0.15294515363539785,0.030537410197921243,0.03198325543983976,0.021986082915466675
plunging,0.05751249472124913,-0.03532110472201602,0.10834042046858856,0.17775303972513093,0.18500357536824347,-0.06818816117386914,-0.05492786555651438,0.3650364483222926,0.007980746348715562,-0.03916793775741832,0.11550353910276513,-0.018976904233618898,-0.2891973537211372,-0.23197187762413551,NA,0.3377975608043034,0.2581298590369436,0.4798900152934939,0.06650755946419952,0.03233732221193121,-0.041837725966243314,0.08544290782987347
scavenging,-0.04655697429167468,0.1522297903343452,0.47306698987094703,0.12250650050062051,0.050356152609646355,-0.12144943627730614,-0.0515671823196978,0.460797467570752,0.07111181345347509,0.2836465751502261,-0.009074841431626955,0.1497811572855467,-0.20158256729508153,-0.23734438882585157,0.3377975608043034,NA,0.03776495439774647,0.33515984482934075,0.41542557932179286,0.07530699653807996,0.015876940955625623,0.1317086302416606
skimming,0.13814525712332038,-0.1347065264644045,-0.07669314931624284,0.07150283234965073,0.1388766322328089,0.1428825427871858,-0.1949936751622762,-0.018390627992497532,-0.021311488442145882,-0.08127745007781188,0.07822738007837364,-0.08231392311582975,-0.07971030587650613,-0.24826897258060582,0.2581298590369436,0.03776495439774647,NA,0.18338209160203875,-0.1217135999827465,0.03568339798778733,-0.013227310807031026,-0.08045814229481255
surface_seizing,0.052502773614942,-0.12587379130315485,0.15540167084882478,0.12937288267437053,0.3051435497720472,-5.421012443904686e-4,-0.03914163712953609,0.3959489658348371,0.03380691731159037,0.08664410263916583,0.05510108742358116,-0.09652562623321362,-0.3496309317896074,-0.5323998929110443,0.4798900152934939,0.33515984482934075,0.18338209160203875,NA,0.09675874482665209,0.013229344411759096,-0.08167034804664694,0.028537284952984365
terrestrial_feeding,-0.14820934437167146,0.0293547693338055,0.561919089251821,-0.010878200875870879,-0.3526244626561718,-0.09330090538688514,0.14900334719392883,0.22958329386481033,0.16645506031154766,0.6769528504278441,-0.3443868652296461,0.22971836941399576,-0.087145039993758,-0.15294515363539785,0.06650755946419952,0.41542557932179286,-0.1217135999827465,0.09675874482665209,NA,0.04451933207491596,0.05835767496236024,0.050137044683222144
n_plastic,-0.02215729429719732,-0.026013678533115897,0.05580578968387158,0.03683933905527556,0.05451187644944331,0.007727264318329081,0.004492543197419771,0.08571677170758801,-0.007893323179525258,-0.022300900926095008,0.02090179644818619,0.05104844923219306,-0.03416035406133433,0.030537410197921243,0.03233732221193121,0.07530699653807996,0.03568339798778733,0.013229344411759096,0.04451933207491596,NA,0.670766218821835,0.00862287165492192
n_total,-0.05202831336912327,0.008357825297496424,0.03145318972053684,0.0329346821717533,0.036265623668583755,-0.038400610129540165,-0.004603923233786407,0.02765098318985065,-0.011408362758349257,0.008062736244916019,0.007640719508389991,0.06582140525675419,0.018764554498615294,0.03198325543983976,-0.041837725966243314,0.015876940955625623,-0.013227310807031026,-0.08167034804664694,0.05835767496236024,0.670766218821835,NA,-0.049271461450798096
year_centered,-0.12879504074282594,0.06548993127139557,0.0455521779370998,0.03998828938801599,-0.09095967838344542,-0.09850555477940641,0.028730267439568975,0.05082477523521236,0.05125105962073812,0.09897994734594392,-0.17048631784839574,-0.035537380445018425,0.05704090717305006,0.021986082915466675,0.08544290782987347,0.1317086302416606,-0.08045814229481255,0.028537284952984365,0.050137044683222144,0.00862287165492192,-0.049271461450798096,NA
