Order,Family,Species,mean_species_FO_weighted
Charadriiformes,Laridae,Leucophaeus atricilla,100
Pelecaniformes,Pelecanidae,Pelecanus occidentalis,100
Procellariiformes,Procellariidae,Pseudobulweria aterrima,100
Suliformes,Phalacrocoracidae,Phalacrocorax sulcirostris,100
Procellariiformes,Hydrobatidae,Hydrobates monorhis,96.39344262295081
Procellariiformes,Procellariidae,Ardenna bulleri,95.90163934426229
Procellariiformes,Hydrobatidae,Hydrobates furcatus,92.6829268292683
Procellariiformes,Diomedeidae,Phoebastria immutabilis,89.43710910354413
Charadriiformes,Laridae,Larus pacificus,86.6943866943867
Procellariiformes,Procellariidae,Pterodroma sandwichensis,85.71428571428571
Procellariiformes,Hydrobatidae,Hydrobates tristrami,85.52036199095022
Procellariiformes,Procellariidae,Fulmarus glacialis,83.81929445644349
Procellariiformes,Procellariidae,Ardenna tenuirostris,82.36533253084562
Procellariiformes,Procellariidae,Halobaena caerulea,79.51807228915662
Procellariiformes,Procellariidae,Calonectris borealis,79.25058548009368
Procellariiformes,Procellariidae,Puffinus bailloni,78.57142857142857
Charadriiformes,Laridae,Larus glaucoides,76.19047619047619
Procellariiformes,Procellariidae,Ardenna gravis,73.76923076923076
Procellariiformes,Diomedeidae,Phoebastria nigripes,73.67303609341825
Procellariiformes,Procellariidae,Puffinus yelkouan,70.96774193548387
Procellariiformes,Procellariidae,Puffinus mauretanicus,70.2127659574468
Procellariiformes,Oceanitidae,Pelagodroma marina,68.98047722342733
Procellariiformes,Procellariidae,Pterodroma baraui,68.26923076923077
Procellariiformes,Procellariidae,Pterodroma brevipes,66.66666666666666
Procellariiformes,Procellariidae,Pterodroma longirostris,66.66666666666666
Procellariiformes,Procellariidae,Ardenna carneipes,65.14264813460132
Procellariiformes,Diomedeidae,Phoebastria albatrus,64.70588235294117
Suliformes,Phalacrocoracidae,Nannopterum auritum,60.810810810810814
Charadriiformes,Alcidae,Aethia psittacula,60.68376068376068
Charadriiformes,Laridae,Larus smithsonianus,60
Procellariiformes,Procellariidae,Ardenna grisea,58.71754107048225
Phaethontiformes,Phaethontidae,Phaethon aethereus,55.670103092783506
Procellariiformes,Procellariidae,Pachyptila desolata,53.04878048780488
Charadriiformes,Laridae,Larus marinus,50
Procellariiformes,Procellariidae,Ardenna creatopus,50
Procellariiformes,Procellariidae,Pterodroma leucoptera,50
Procellariiformes,Procellariidae,Pterodroma phaeopygia,50
